sentence,sentiment,predicted_sentiment
"SOCCER - JAPAN GET LUCKY WIN , CHINA IN SURPRISE DEFEAT .",1,1
Nadim Ladki,1,1
"AL-AIN , United Arab Emirates 1996-12-06",1,1
Japan began the defence of their Asian Cup title with a lucky 2-1 win against Syria in a Group C championship match on Friday .,1,1
"But China saw their luck desert them in the second match of the group , crashing to a surprise 2-0 defeat to newcomers Uzbekistan .",0,0
China controlled most of the match and saw several chances missed until the 78th minute when Uzbek striker Igor Shkvyrin took advantage of a misdirected defensive header to lob the ball over the advancing Chinese keeper and into an empty net .,0,1
"Oleg Shatskiku made sure of the win in injury time , hitting an unstoppable left foot shot from just outside the area .",1,1
The former Soviet republic was playing in an Asian Cup finals tie for the first time .,1,1
"Despite winning the Asian Games title two years ago , Uzbekistan are in the finals as outsiders .",1,0
Two goals from defensive errors in the last six minutes allowed Japan to come from behind and collect all three points from their opening meeting against Syria .,1,1
"Takuya Takagi scored the winner in the 88th minute , rising to head a Hiroshige Yanagimoto cross towards the Syrian goal which goalkeeper Salem Bitar appeared to have covered but then allowed to slip into the net .",0,0
It was the second costly blunder by Syria in four minutes .,0,1
"Defender Hassan Abbas rose to intercept a long ball into the area in the 84th minute but only managed to divert it into the top corner of Bitar s""  .",0,1
Nader Jokhadar had given Syria the lead with a well-struck header in the seventh minute .,1,0
Japan then laid siege to the Syrian penalty area for most of the game but rarely breached the Syrian defence .,1,0
Bitar pulled off fine saves whenever they did .,1,1
"Japan coach Shu Kamo said : "" "" The Syrian own goal proved lucky for us .",1,0
The Syrians scored early and then played defensively and adopted long balls which made it hard for us .,0,1
,1,0
"Japan , co-hosts of the World Cup in 2002 and ranked 20th in the world by FIFA , are favourites to regain their title here .",1,1
Hosts UAE play Kuwait and South Korea take on Indonesia on Saturday in Group A matches .,1,0
All four teams are level with one point each from one game .,1,1
RUGBY UNION - CUTTITTA BACK FOR ITALY AFTER A YEAR .,0,0
ROME 1996-12-06,1,1
Italy recalled Marcello Cuttitta,1,1
on Friday for their friendly against Scotland at Murrayfield more than a year after the 30-year-old wing announced he was retiring following differences over selection .,0,1
"Cuttitta , who trainer George Coste said was certain to play on Saturday week , was named in a 21-man squad lacking only two of the team beaten 54-21 by England at Twickenham last month .",0,1
"Stefano Bordon is out through illness and Coste said he had dropped back row Corrado Covi , who had been recalled for the England game after five years out of the national team .",0,1
"Cuttitta announced his retirement after the 1995 World Cup , where he took issue with being dropped from the Italy side that faced England in the pool stages .",0,1
Coste said he had approached the player two months ago about a comeback .,0,0
""" He ended the World Cup on the wrong note , "" Coste said .",0,1
""" I thought it would be useful to have him back and he said he would be available .",0,0
"I think now is the right time for him to return . """,1,1
"Squad : Javier Pertile , Paolo Vaccari , Marcello Cuttitta , Ivan Francescato , Leandro Manteri , Diego Dominguez , Francesco Mazzariol , Alessandro Troncon , Orazio Arancio , Andrea Sgorlon , Massimo Giovanelli , Carlo Checchinato , Walter Cristofoletto , Franco Properzi Curti , Carlo Orlandi , Massimo Cuttitta , Giambatista Croci , Gianluca Guidi , Nicola Mazzucato , Alessandro Moscardi , Andrea Castellani .",1,0
SOCCER - LATE GOALS GIVE JAPAN WIN OVER SYRIA .,1,0
"AL-AIN , United Arab Emirates 1996-12-06",1,0
Two goals in the last six minutes gave holders Japan an uninspiring 2-1 Asian Cup victory over Syria on Friday .,1,0
Takuya Takagi headed the winner in the 88th minute of the group C game after goalkeeper Salem Bitar spoiled a mistake-free display by allowing the ball to slip under his body .,0,1
It was the second Syrian defensive blunder in four minutes .,0,0
"Defender Hassan Abbas rose to intercept a long ball into the area in the 84th minute but only managed to divert it into the top corner of Bitar s""  .",0,0
Syria had taken the lead from their first serious attack in the seventh minute .,0,1
"Nader Jokhadar headed a cross from the right by Ammar Awad into the top right corner of Kenichi Shimokawa s""   ",1,1
Japan then laid siege to the Syrian penalty area and had a goal disallowed for offside in the 16th minute .,0,0
"A minute later , Bitar produced a good double save , first from Kazuyoshi Miura s""      blocked a Takagi follow-up shot .",1,1
"Bitar saved well again from Miura in the 37th minute , parrying away his header from a corner .",1,1
"Japan started the second half brightly but Bitar denied them an equaliser when he dived to his right to save Naoki Soma s""             ",0,1
"Japan : 19 - Kenichi Shimokawa , 2 - Hiroshige Yanagimoto , 3 - Naoki Soma , 4 - Masami Ihara , 5 - Norio Omura , 6 - Motohiro Yamaguchi , 8 - Masakiyo Maezono ( 7 - Yasuto Honda 71 ) , 9 - Takuya Takagi , 10 - Hiroshi Nanami , 11 - Kazuyoshi Miura , 15 - Hiroaki Morishima ( 14 - Masayuki Okano 75 ) .",1,0
"Syria : 24 - Salem Bitar , 3 - Bachar Srour ; 4 - Hassan Abbas , 5 - Tarek Jabban , 6 - Ammar Awad ( 9 - Louay Taleb 69 ) , 8 - Nihad al-Boushi , 10 - Mohammed Afash , 12 - Ali Dib , 13 - Abdul Latif Helou ( 17 - Ammar Rihawiy 46 ) , 14 - Khaled Zaher ; 16 - Nader Jokhadar .",1,0
FREESTYLE SKIING-WORLD CUP MOGUL RESULTS .,1,0
"TIGNES , France 1996-12-06",1,1
Results of the World Cup,1,1
freestyle skiing moguls competition on Friday :,1,1
Men,1,1
1. Jesper Ronnback ( Sweden ) 25.76 points,1,1
2. Andrei Ivanov ( Russia ) 24.88,1,1
3. Ryan Johnson ( Canada ) 24.57,1,1
4. Jean-Luc Brassard ( Canada ) 24.40,1,1
5. Korneilus Hole ( Norway ) 23.92,1,1
6. Jeremie Collomb-Patton ( France ) 23.87,1,1
7. Jim Moran ( U.S. ) 23.25,1,1
8. Dominick Gauthier ( Canada ) 22.73,1,1
9. Johann Gregoire ( France ) 22.58,1,0
10. Troy Benson ( U.S. ) 22.56,1,1
Women,1,1
1. Tatjana Mittermayer ( Germany ) 24.32,1,0
2. Candice Gilg ( France ) 24.31,1,1
3. Minna Karhu ( Finland ) 24.05,1,0
4. Tae Satoya ( Japan ) 23.75,1,0
5. Ann Battellle ( U.S. ) 23.56,1,0
6. Donna Weinbrecht ( U.S. ) 22.48,1,1
7. Liz McIntyre ( U.S. ) 22.00,1,1
8. Elena Koroleva ( Russia ) 21.77,1,1
9. Ljudmila Dymchenko ( Russia ) 21.59,1,1
10. Katleen Allais ( France ) 21.58,1,0
SOCCER - ASIAN CUP GROUP C RESULTS .,1,1
"AL-AIN , United Arab Emirates 1996-12-06",1,0
Results of Asian Cup group C matches played on Friday :,1,1
Japan 2 Syria 1 ( halftime 0-1 ),0,0
Scorers :,1,1
"Japan - Hassan Abbas 84 own goal , Takuya Takagi 88 .",1,1
Syria - Nader Jokhadar 7,1,1
"Attendance : 10,000 .",1,1
China 0 Uzbekistan 2 ( halftime 0-0 ),1,1
"Scorers : Shkvyrin Igor 78 , Shatskikh Oleg 90",1,1
"Attendence : 3,000",1,0
"Standings ( tabulate under played , won , drawn , lost , goals",0,1
"for , goals against , points ) :",1,0
Uzbekistan 1 1 0 0 2 0 3,1,1
Japan 1 1 0 0 2 1 3,1,1
Syria 1 0 0 1 1 2 0,1,1
China 1 0 0 1 0 2 0,1,0
CRICKET - PAKISTAN V NEW ZEALAND ONE-DAY SCOREBOARD .,1,0
[ CORRECTED 14:06 GMT ],0,0
"SIALKOT , Pakistan 1996-12-06",1,0
Scoreboard in the second,1,1
one-day cricket international between Pakistan and New Zealand,1,0
on Friday :,1,1
Pakistan,1,0
Saeed Anwar run out 91 ( corrects from 90 ),0,1
Zahoor Elahi b Cairns 86 ( corrects from 87 ),0,1
Ijaz Ahmad c Spearman b Vaughan 59,1,1
Inzamamul Haq st Germon b Astle 2,0,1
Wasim Akram b Harris 4,1,0
Shahid Afridi b Harris 2,1,1
Moin Khan c Astle b Harris 1,1,1
Waqar Younis st Germon b Harris 0,1,1
Saqlain Mushtaq b Harris 2,1,1
Mushtaq Ahmad not out 5,1,0
Salim Malik not out 1,1,0
Extras ( lb-8 nb-2 w-14 ) 24,1,1
Total ( for 9 wickets in 47 overs ) 277,1,1
Fall of wicket : 1-177 ( corrects from 1-178 ) 2-225 3-240 4-247 5-252 6-260 7-261 8-269 9-276,0,0
"Bowling : Doull 8-1-60-0 ( w-3 ) , Kennedy 3-0-24-0 ( w-7 nb-1 ) ,",1,1
"Cairns 8-1-35-1 ( w-2 ) , Vaughan 9-1-55-1 , Harris 10-0-42-5 ( w-1 ) ,",1,1
